Course,Parsed_Prereqs
SOC 100,[['NAN']]
SOC 101,[['NAN']]
SOC 108,[['NAN']]
SOC 115,[['NAN']]
SOC 206,[['NAN']]
SOC 220,[['NAN']]
SOC 245,[['NAN']]
SOC 254,[['NAN']]
SOC 260,[['NAN']]
SOC 282,[['NAN']]
SOC 290,[['NAN']]
SOC 326,"[['SOC 100'], ['CORE 130', 'MATH']]"
SOC 342,[['SOC 100']]
SOC 345,[['SOC 100']]
SOC 347,[['NAN']]
SOC 351,[['NAN']]
SOC 352,[['SOC 100']]
SOC 355,[['NAN']]
SOC 358,[['NAN']]
SOC 360,[['NAN']]
SOC 365,[['NAN']]
SOC 370,[['JUNIOR']]
SOC 373,[['SOC 100']]
SOC 374,[['SOC 100']]
SOC 375,[['NAN']]
SOC 376,[['SOC 100']]
SOC 380,[['SOC 100']]
SOC 390,[['NAN']]
SOC 499,"[['SOC 100'], ['HSS 280'], ['SOC 374']]"
SOC 499M,"[['SOC 100'], ['SOC 374']]"
SOJ 100,[['NAN']]
SPAN 101,[['NAN']]
SPAN 102,[['NAN']]
SPAN 200,[['SPAN 101']]
SPAN 300,[['SPAN 102']]
SPAN 310,[['SPAN 200']]
SPAN 311,[['SPAN 200']]
SPAN 312,[['SPAN 200']]
SPAN 313,[['SPAN 311']]
SPAN 314,[['SPAN 312']]
SPAN 320,[['SPAN 313']]
SPAN 330,[['SPAN 200']]
SPAN 340,[['INSTRUCTOR PERMISSION']]
SPAN 350,[['SPAN 312']]
SPAN 360,[['SPAN 312']]
SPAN 370,[['SPAN 312']]
SPAN 380,[['SPAN 312']]
SPED 210,[['SPAN 312']]
SPED 270,[['NAN']]
SPED 280,[['NAN']]
SPED 310,[['FIELD EXPERIENCE']]
SPED 311,[['FIELD EXPERIENCE']]
SPED 311BL,[['NAN']]
SPED 350,"[['EDUC 250'], ['EDUC 260'], ['SPED 210']]"
SPED 360,[['FIELD EXPERIENCE']]
SPED 400,[['NAN']]
SPED 410,[['FIELD EXPERIENCE']]
SPED 420,[['FIELD EXPERIENCE']]
SPED 480,[['NAN']]
SW 204,"[['COMPLETION OF COURSE REQUIREMENTS'], ['ADMISSION TO THE TEACHER EDUCATION PROGRAM']]"
SW 215,[['NAN']]
SW 230,[['NAN']]
SW 255,[['NAN']]
SW 270,[['NAN']]
SW 360,[['NAN']]
SW 378,[['NAN']]
SW 389,[['SW 255']]
SW 399,[['NAN']]
SW 448,[['NAN']]
SW 485,[['SW 360']]
SW 486,[['NAN']]
,[['NAN']]
